2026-09-15T06:26:33Z 30.42 35.31 42.05 | == baseline heap k=14
2026-09-15T06:27:03Z 29.53 34.56 41.54 | == candidate forced-spill k=19
2026-09-15T06:27:33Z 43.17 37.17 42.23 | == candidate heap k=19
2026-09-15T06:28:03Z 53.45 39.97 43.06 | == candidate heap k=19
2026-09-15T06:28:33Z 46.38 39.65 42.84 | == candidate heap k=19
2026-09-15T06:29:03Z 37.90 38.26 42.22 | == candidate pk-mmap k=19
2026-09-15T06:29:33Z 26.94 35.57 41.11 | == candidate pk-mmap k=20
2026-09-15T06:30:03Z 28.59 35.03 40.72 | mlg004-burst-candidate-w2 peak-ish mem 357.2MiB / 7.75GiB
2026-09-15T06:31:44Z 19.93 30.58 38.37 | 
2026-09-15T06:32:14Z 23.77 30.46 38.05 | === 06:31:44 spill rerun k=14 (30 warm) ===
2026-09-15T06:32:44Z 30.48 31.31 38.09 | === 06:31:44 spill rerun k=14 (30 warm) ===
2026-09-15T06:33:14Z 23.80 29.66 37.26 | === 06:33:00 baseline heap k=19,20 (3 warm) ===
2026-09-15T06:33:44Z 28.88 30.09 37.13 | === 06:33:00 baseline heap k=19,20 (3 warm) ===
2026-09-15T06:34:14Z 51.55 35.61 38.90 | === 06:33:00 baseline heap k=19,20 (3 warm) ===
2026-09-15T06:34:44Z 45.79 35.85 38.88 | === 06:33:00 baseline heap k=19,20 (3 warm) ===
2026-09-15T06:35:14Z 46.28 36.91 39.15 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:35:44Z 33.22 34.66 38.26 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:36:14Z 24.86 32.53 37.37 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:36:44Z 21.99 31.13 36.69 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:37:15Z 36.86 33.28 37.25 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:37:45Z 30.59 32.07 36.67 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:38:15Z 24.85 30.55 35.95 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:38:45Z 20.97 28.97 35.19 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:39:15Z 27.30 29.74 35.25 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:39:45Z 33.81 31.12 35.56 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:40:15Z 42.81 33.80 36.39 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:40:45Z 32.88 32.21 35.72 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:41:15Z 40.44 34.13 36.30 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:41:45Z 43.95 35.59 36.75 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:42:15Z 44.70 36.58 37.07 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:42:45Z 42.95 36.82 37.13 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:43:15Z 39.05 36.34 36.94 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:43:45Z 42.17 37.60 37.39 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:44:15Z 33.40 35.74 36.71 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:44:45Z 36.69 36.21 36.84 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:45:15Z 36.65 36.38 36.89 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:45:45Z 36.97 36.26 36.82 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:46:15Z 37.69 36.49 36.88 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:46:45Z 40.58 37.38 37.19 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:47:15Z 40.96 37.90 37.39 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:47:45Z 28.72 35.23 36.44 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:48:15Z 29.15 34.60 36.16 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:48:45Z 26.10 33.19 35.59 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:49:15Z 24.23 32.19 35.15 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:49:45Z 33.27 33.62 35.57 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:50:15Z 37.10 34.56 35.84 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:50:45Z 38.97 35.43 36.12 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:51:15Z 35.15 34.83 35.88 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:51:45Z 41.14 36.44 36.43 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:52:15Z 32.01 34.64 35.78 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:52:45Z 26.26 33.06 35.17 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:53:15Z 31.29 33.64 35.30 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:53:45Z 24.53 31.80 34.58 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:54:15Z 32.86 33.09 34.95 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:54:45Z 32.03 32.96 34.84 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:55:15Z 33.86 33.49 34.98 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:55:45Z 30.67 32.95 34.74 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:56:15Z 26.27 31.61 34.19 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:56:46Z 24.48 30.57 33.72 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:57:16Z 25.35 30.15 33.45 | === 06:35:11 spill rerun k=19,20 (3 warm) ===
2026-09-15T06:58:07Z 13.63 26.22 31.81 | rep
2026-09-15T06:58:37Z 13.31 24.93 31.14 | rep
2026-09-15T06:59:07Z 13.24 23.79 30.51 | rep
2026-09-15T06:59:37Z 10.97 22.23 29.71 | rep
2026-09-15T07:00:07Z 9.98 20.90 28.97 | rep
2026-09-15T07:00:37Z 9.08 19.62 28.23 | rep
2026-09-15T07:01:07Z 9.42 18.71 27.60 | rep
2026-09-15T07:01:37Z 11.73 18.43 27.19 | rep
2026-09-15T07:02:07Z 10.69 17.55 26.57 | rep
2026-09-15T07:02:40Z 12.52 17.37 26.14 | limits
2026-09-15T07:03:10Z 13.54 17.22 25.79 | limits
2026-09-15T07:03:40Z 15.62 17.50 25.60 | limits
2026-09-15T07:04:10Z 16.70 17.55 25.33 | limits
2026-09-15T07:04:40Z 13.45 16.68 24.75 | limits
2026-09-15T07:05:10Z 16.99 17.34 24.71 | limits
2026-09-15T07:05:40Z 20.49 18.07 24.72 | limits
2026-09-15T07:06:10Z 18.67 17.80 24.38 | limits
2026-09-15T07:06:40Z 18.22 17.60 24.07 | limits
2026-09-15T07:07:10Z 19.75 18.07 24.02 | limits
2026-09-15T07:07:40Z 19.42 18.21 23.87 | limits
2026-09-15T07:08:10Z 21.07 18.64 23.82 | limits
2026-09-15T07:08:40Z 18.91 18.33 23.53 | limits
2026-09-15T07:09:10Z 22.27 19.10 23.62 | limits
2026-09-15T07:09:40Z 23.60 19.85 23.74 | limits
2026-09-15T07:10:10Z 22.98 19.94 23.63 | limits
2026-09-15T07:10:40Z 19.98 19.50 23.34 | limits
2026-09-15T07:11:10Z 20.99 19.89 23.36 | limits
2026-09-15T07:11:40Z 17.58 19.24 23.00 | limits
2026-09-15T07:12:10Z 18.37 19.39 22.94 | limits
2026-09-15T07:12:40Z 19.31 19.54 22.87 | limits
2026-09-15T07:13:10Z 23.31 20.49 23.10 | limits
2026-09-15T07:13:40Z 16.80 19.17 22.53 | limits
2026-09-15T07:14:10Z 13.72 18.22 22.07 | limits
2026-09-15T07:14:40Z 17.84 18.77 22.13 | limits
2026-09-15T07:15:10Z 19.77 19.28 22.20 | limits
2026-09-15T07:15:40Z 16.40 18.54 21.84 | limits
2026-09-15T07:16:10Z 13.04 17.54 21.36 | limits
2026-09-15T07:16:40Z 11.34 16.72 20.93 | limits
2026-09-15T07:17:10Z 11.17 16.23 20.61 | limits
2026-09-15T07:17:40Z 22.08 18.25 21.18 | limits
